"Home Team","Away Team","Match Date","Home Goals","Away Goals","H Shots","H Shots - Target","A Shots","A Shots - Target","Division","Season"
"QPR","Chelsea","15-SEP-12","0","0","10","6","13","9","1","2012"
"Man United","Wigan","15-SEP-12","4","0","17","10","8","4","1","2012"
"Norwich","West Ham","15-SEP-12","0","0","20","14","9","4","1","2012"
"Arsenal","Southampton","15-SEP-12","6","1","20","12","9","4","1","2012"
"Southampton","Man United","02-SEP-12","2","3","15","8","18","9","1","2012"
"Liverpool","Arsenal","02-SEP-12","0","2","17","8","11","7","1","2012"
"Newcastle","Aston Villa","02-SEP-12","1","1","16","6","13","9","1","2012"
"Tottenham","Norwich","01-SEP-12","1","1","15","9","10","4","1","2012"
"Wigan","Stoke","01-SEP-12","2","2","9","5","16","8","1","2012"
"Man City","QPR","01-SEP-12","3","1","19","12","9","5","1","2012"
"West Ham","Fulham","01-SEP-12","3","0","17","12","14","13","1","2012"
"West Brom","Everton","01-SEP-12","2","0","14","8","12","5","1","2012"
"Swansea","Sunderland","01-SEP-12","2","2","14","10","4","3","1","2012"
"Liverpool","Man City","26-AUG-12","2","2","15","8","11","5","1","2012"
"Stoke","Arsenal","26-AUG-12","0","0","7","4","16","6","1","2012"
"Tottenham","West Brom","25-AUG-12","1","1","18","10","10","5","1","2012"
"Chelsea","Newcastle","25-AUG-12","2","0","11","6","11","5","1","2012"
"Aston Villa","Everton","25-AUG-12","1","3","7","3","19","11","1","2012"
"Swansea","West Ham","25-AUG-12","3","0","10","7","7","6","1","2012"
"Man United","Fulham","25-AUG-12","3","2","20","11","14","11","1","2012"
"Norwich","QPR","25-AUG-12","1","1","13","4","6","4","1","2012"
"Southampton","Wigan","25-AUG-12","0","2","14","9","12","8","1","2012"
"Chelsea","Reading","22-AUG-12","4","2","23","11","7","5","1","2012"
"Everton","Man United","20-AUG-12","1","0","16","7","12","7","1","2012"
"Man City","Southampton","19-AUG-12","3","2","20","15","9","6","1","2012"
"Wigan","Chelsea","19-AUG-12","0","2","12","4","5","3","1","2012"
"Newcastle","Tottenham","18-AUG-12","2","1","6","4","12","6","1","2012"
"Fulham","Norwich","18-AUG-12","5","0","11","9","4","2","1","2012"
"West Brom","Liverpool","18-AUG-12","3","0","15","10","14","7","1","2012"
"West Ham","Aston Villa","18-AUG-12","1","0","8","4","10","6","1","2012"
"QPR","Swansea","18-AUG-12","0","5","20","11","12","8","1","2012"
"Reading","Stoke","18-AUG-12","1","1","9","3","6","3","1","2012"
"Arsenal","Sunderland","18-AUG-12","0","0","14","4","3","2","1","2012"
